#{"t_start": 1775318454.5790184, "env_id": null}
r,l,t
-5.160976,21,7088.090152
-21.206739,21,7095.353753
-13.834705,21,7102.371009
-13.382811,21,7109.860212
-15.738511,21,7117.982832
-13.196742,21,7124.40727
-7.875944,21,7131.399955
-8.185218,21,7137.195395
-5.748079,21,7142.867116
-4.598672,21,7150.116733
-14.465662,21,7157.524019
-9.9836,41,7166.150921
-10.299255,21,7172.846399
-14.439718,21,7179.805708
-1.570885,21,7185.386991
-6.231161,21,7191.104804
-15.840838,21,7197.243758
-2.465694,21,7202.925104
-9.439612,21,7227.664266
-3.393086,21,7233.150998
-8.093293,21,7239.777864
-2.019079,21,7245.559699
-17.375643,21,7253.245196
-9.849363,21,7259.102292
3.286672,21,7264.517281
-11.119422,21,7271.474869
-6.93181,21,7276.62851
3.442716,21,7282.209608
-10.136132,21,7288.070237
